Fiscal Year Released,Main Supervising District,Release Type,Race - Ethnicity,Age At Release ,Sex,Return to Prison,Days to Return,Recidivism Type,Offense,New Offense
2010,2JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Public Order-Traffic,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Violent-Assault,No recidivism
2014,1JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2012,1JD,Special Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Other-Special Sentence Revocation,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2013,8JD,Parole Granted,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2015,4JD,Parole Granted,Black - Non-Hispanic,45-54,Male,Yes,51.0,Tech,Public Order-Traffic,Public Order-Traffic
2014,,,Black - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Property-Theft,No recidivism
2014,6JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2013,,Discharged - Expiration of Sentence,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2015,,Discharged - Expiration of Sentence,White - Hispanic,25-34,Male,No,,No Recidivism,Violent-Other Violent,No recidivism
2010,1JD,Parole,Black - Non-Hispanic,35-44,Female,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2013,8JD,Parole Granted,White - Non-Hispanic,35-44,Male,Yes,307.0,Tech,Public Order-OWI,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,,,Black - Non-Hispanic,25-34,Male,Yes,26.0,Tech,Public Order-Other Public Order,Other-Other Criminal
2013,1JD,Parole Granted,White - Hispanic,25-34,Male,Yes,617.0,New,Violent-Assault,Public Order-Weapons
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Sex,No recidivism
2013,,Released to Special Sentence,White - Hispanic,25-34,Male,No,,No Recidivism,Violent-Sex,No recidivism
2010,2JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Sex,No recidivism
2011,5JD,Parole,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,2JD,Parole,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Robbery,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Sex,No recidivism
2015,,Parole Granted,White - Non-Hispanic,Under 25,Female,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2012,,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2010,2JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Arson,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Assault,No recidivism
2015,,Discharged - Expiration of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2015,5JD,Parole Granted,White - Hispanic,35-44,Male,Yes,537.0,New,Drug-Trafficking,Drug-Trafficking
2014,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,6JD,Parole Granted,Black - Non-Hispanic,25-34,Male,Yes,169.0,Tech,Property-Burglary,Property-Burglary
2014,6JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Sex,No recidivism
2011,3JD,Parole,White - Non-Hispanic,Under 25,Male,Yes,180.0,Tech,Property-Burglary,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Yes,88.0,New,Public Order-Alcohol,Public Order-Alcohol
2014,6JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Robbery,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,,Discharged – End of Sentence,Black - Non-Hispanic,55 and Older,Male,Yes,310.0,Tech,Property-Theft,No recidivism
2012,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,Yes,585.0,New,Drug-Trafficking,Drug-Trafficking
2011,Interstate Compact,Parole,White - Non-Hispanic,25-34,Male,Yes,182.0,Tech,Public Order-Weapons,No recidivism
2014,1JD,Parole,Black - Non-Hispanic,25-34,Male,Yes,533.0,Tech,Drug-Trafficking,Drug-Trafficking
2011,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2010,,Discharged – End of Sentence,White - Hispanic,25-34,Male,No,,No Recidivism,Drug-Other Drug,No recidivism
2015,2JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Sex,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2013,1JD,Parole Granted,American Indian or Alaska Native - Non-Hispanic,35-44,Male,Yes,113.0,Tech,Drug-Drug Possession,No recidivism
2015,2JD,Parole Granted,White - Non-Hispanic,55 and Older,Male,Yes,154.0,Tech,Public Order-Other Public Order,Public Order-Other Public Order
2014,7JD,Parole,White - Non-Hispanic,25-34,Male,Yes,883.0,New,Violent-Assault,Other-Other Criminal
2013,5JD,Parole Granted,White - Non-Hispanic,35-44,Male,Yes,602.0,Tech,Drug-Trafficking,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Yes,717.0,New,Public Order-OWI,Other-Other Criminal
2014,5JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,6JD,Parole,White - Non-Hispanic,45-54,Male,Yes,399.0,Tech,Public Order-OWI,No recidivism
2011,3JD,Parole,White - Hispanic,Under 25,Male,No,,No Recidivism,Property-Vandalism,No recidivism
2015,1JD,Parole Granted,Black - Non-Hispanic,25-34,Male,Yes,252.0,Tech,Other-Other Criminal,Other-Other Criminal
2014,3JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2010,5JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,1JD,Special Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Sex,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Sex,No recidivism
2013,,Discharged - Expiration of Sentence,Black - Non-Hispanic,Under 25,Male,Yes,551.0,New,Drug-Trafficking,Public Order-Other Public Order
2010,2JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Other Drug,No recidivism
2011,1JD,Parole,White - Non-Hispanic,Under 25,Male,Yes,91.0,Tech,Property-Burglary,No recidivism
2014,,,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Theft,No recidivism
2012,5JD,Parole,Black - Non-Hispanic,45-54,Male,Yes,322.0,Tech,Drug-Trafficking,No recidivism
2013,3JD,Parole Granted,American Indian or Alaska Native - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-Weapons,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Yes,995.0,New,Violent-Assault,Property-Burglary
2011,3JD,Parole,White - Non-Hispanic,35-44,Female,Yes,275.0,Tech,Violent-Murder/Manslaughter,No recidivism
2014,6JD,Parole,White - Non-Hispanic,25-34,Male,Yes,279.0,Tech,Violent-Other Violent,Violent-Other Violent
2010,7JD,Parole,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,7JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2015,5JD,Released to Special Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2014,,,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Arson,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Yes,267.0,New,Drug-Drug Possession,Drug-Trafficking
2014,,,American Indian or Alaska Native - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Other Violent,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,1JD,Parole Granted,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,1JD,Parole,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-Weapons,No recidivism
2010,1JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,35-44,Male,Yes,109.0,Tech,Violent-Assault,Violent-Assault
2012,1JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Arson,No recidivism
2010,3JD,Parole,White - Non-Hispanic,35-44,Male,Yes,636.0,New,Drug-Drug Possession,Other-Other Criminal
2011,5JD,Parole,Black - Non-Hispanic,35-44,Male,Yes,1095.0,New,Other-Other Criminal,Property-Theft
2010,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,1JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,5JD,Parole,White - Non-Hispanic,35-44,Male,Yes,54.0,New,Property-Theft,Property-Theft
2015,5JD,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-Other Public Order,No recidivism
2015,8JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,351.0,New,Other-Other Criminal,Other-Other Criminal
2014,8JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2014,,,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2013,4JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,357.0,Tech,Other-Other Criminal,No recidivism
2015,,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,2JD,Parole,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,1JD,Special Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Sex,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2015,,Parole Granted,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Murder/Manslaughter,No recidivism
2012,5JD,Parole,Black - Non-Hispanic,25-34,Male,Yes,1045.0,New,Public Order-OWI,Public Order-Traffic
2012,4JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Burglary,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Sex,No recidivism
2014,,,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Theft,No recidivism
2014,,,White - Non-Hispanic,25-34,Male,Yes,722.0,New,Violent-Sex,Other-Other Criminal
2011,5JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Yes,889.0,New,Public Order-Weapons,Property-Burglary
2010,5JD,Parole,White - Non-Hispanic,25-34,Male,Yes,714.0,New,Drug-Trafficking,Property-Theft
2014,7JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,4JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2011,4JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-Weapons,No recidivism
2014,4JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,7JD,Parole Granted,Black - Non-Hispanic,25-34,Male,Yes,379.0,New,Drug-Trafficking,Drug-Trafficking
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Yes,197.0,New,Property-Theft,Property-Theft
2011,Interstate Compact,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Theft,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Yes,524.0,New,Public Order-OWI,Public Order-OWI
2011,5JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2010,8JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,8JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,4JD,Parole,White - Non-Hispanic,25-34,Male,Yes,78.0,Tech,Property-Theft,Property-Theft
2014,6JD,Parole,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2014,5JD,Parole,White - Non-Hispanic,55 and Older,Male,Yes,251.0,New,Property-Theft,Property-Theft
2013,3JD,Parole Granted,White - Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Theft,No recidivism
2013,7JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2010,1JD,Special Sentence,White - Non-Hispanic,25-34,Male,Yes,115.0,Tech,Violent-Sex,No recidivism
2012,8JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Sex,No recidivism
2012,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Female,Yes,839.0,New,Property-Forgery/Fraud,Property-Forgery/Fraud
2013,,Discharged - Expiration of Sentence,Black - Non-Hispanic,25-34,Male,Yes,511.0,New,Property-Theft,Property-Theft
2011,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2015,8JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,5JD,Parole,White - Non-Hispanic,35-44,Female,Yes,135.0,Tech,Property-Theft,No recidivism
2010,8JD,Parole,Black - Non-Hispanic,25-34,Male,Yes,910.0,New,Drug-Trafficking,Drug-Trafficking
2013,7JD,Parole Granted,White - Non-Hispanic,35-44,Male,Yes,699.0,New,Other-Other Criminal,Violent-Sex
2015,1JD,Parole Granted,Black - Non-Hispanic,25-34,Male,Yes,553.0,Tech,Drug-Trafficking,Drug-Trafficking
2014,4JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,2JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Burglary,No recidivism
2011,5JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2010,7JD,Parole,White - Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,8JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,407.0,New,Property-Burglary,Violent-Assault
2015,2JD,Paroled w/Immediate Discharge,White - Non-Hispanic,Under 25,Male,Yes,455.0,New,Property-Theft,Property-Theft
2011,3JD,Parole,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,2JD,Parole,White - Hispanic,25-34,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,4JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2011,5JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,,,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Sex,No recidivism
2014,2JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Vandalism,No recidivism
2010,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,4JD,Parole,White - Non-Hispanic,35-44,Male,Yes,638.0,Tech,Drug-Trafficking,No recidivism
2013,2JD,Parole Granted,White - Non-Hispanic,35-44,Male,Yes,302.0,New,Other-Other Criminal,Property-Burglary
2011,6JD,Special Sentence,White - Non-Hispanic,35-44,Male,Yes,396.0,Tech,Violent-Other Violent,No recidivism
2011,1JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2013,2JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-Weapons,No recidivism
2010,8JD,Parole,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2011,5JD,Parole,Asian or Pacific Islander - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2010,4JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Property-Burglary,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Yes,790.0,New,Property-Burglary,Drug-Trafficking
2015,2JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,7JD,Parole,White - Non-Hispanic,25-34,Male,Yes,265.0,Tech,Drug-Trafficking,No recidivism
2011,5JD,Parole,White - Non-Hispanic,25-34,Male,Yes,397.0,Tech,Drug-Trafficking,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,Under 25,Male,Yes,140.0,New,Drug-Trafficking,Drug-Trafficking
2011,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,,,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2012,5JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,7JD,Parole,White - Non-Hispanic,Under 25,Male,Yes,728.0,New,Property-Burglary,Property-Burglary
2014,8JD,Parole,White - Non-Hispanic,55 and Older,Female,No,,No Recidivism,Violent-Sex,No recidivism
2012,4JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,1JD,Parole Granted,Black - Non-Hispanic,Under 25,Male,Yes,500.0,Tech,Drug-Trafficking,No recidivism
2012,5JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,7JD,Parole Granted,Black - Non-Hispanic,35-44,Male,Yes,381.0,Tech,Other-Other Criminal,Other-Other Criminal
2014,5JD,Parole,White - Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,1JD,Paroled to Detainer - Out of State,White - Non-Hispanic,25-34,Male,Yes,684.0,New,Drug-Drug Possession,Drug-Trafficking
2010,,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,Yes,103.0,New,Violent-Assault,Property-Burglary
2014,5JD,Parole,White - Non-Hispanic,35-44,Male,Yes,705.0,Tech,Drug-Trafficking,Drug-Trafficking
2014,5JD,Parole,White - Non-Hispanic,25-34,Female,Yes,542.0,New,Drug-Drug Possession,Drug-Drug Possession
2014,7JD,Parole,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,6JD,Parole Granted,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Robbery,No recidivism
2015,3JD,Parole Granted,White - Non-Hispanic,55 and Older,Female,Yes,15.0,Tech,Public Order-OWI,Public Order-OWI
2013,2JD,Paroled w/Immediate Discharge,Black - Non-Hispanic,35-44,Male,Yes,364.0,New,Public Order-Alcohol,Public Order-Alcohol
2013,5JD,Paroled w/Immediate Discharge,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-Traffic,No recidivism
2015,5JD,Paroled w/Immediate Discharge,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2012,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,3JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,,,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2012,,Discharged – End of Sentence,White - Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2014,5JD,Parole,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,1JD,Parole,Black - Non-Hispanic,55 and Older,Male,Yes,951.0,New,Public Order-OWI,Violent-Assault
2015,8JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Sex,No recidivism
2015,5JD,Parole Granted,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Other-Other Criminal,No recidivism
2014,2JD,Parole,White - Non-Hispanic,45-54,Female,Yes,256.0,New,Drug-Other Drug,Drug-Trafficking
2014,,,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2010,1JD,Parole,White - Non-Hispanic,35-44,Female,Yes,585.0,Tech,Drug-Trafficking,No recidivism
2012,2JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,3JD,Parole,White - Non-Hispanic,Under 25,Male,Yes,158.0,Tech,Property-Burglary,No recidivism
2015,,Discharged - Expiration of Sentence,Black - Non-Hispanic,Under 25,Male,Yes,372.0,New,Property-Theft,Property-Burglary
2010,4JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,,,White - Hispanic,55 and Older,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Assault,No recidivism
2014,,,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-Other Public Order,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,2JD,Parole,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2015,3JD,Parole Granted,White - Non-Hispanic,45-54,Male,Yes,420.0,Tech,Other-Other Criminal,Other-Other Criminal
2014,,,White - Hispanic,25-34,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2010,8JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,1JD,Parole,White - Non-Hispanic,Under 25,Male,Yes,758.0,New,Public Order-Other Public Order,Drug-Trafficking
2010,5JD,Parole,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Burglary,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Public Order-Sex Offender Registry/Residency,No recidivism
2010,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Sex,No recidivism
2012,ISC,Parole,White - Hispanic,35-44,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2012,1JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2013,,Paroled to Detainer - Out of State,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2012,ISC,Parole,White - Non-Hispanic,25-34,Male,Yes,727.0,Tech,Drug-Trafficking,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,35-44,Male,Yes,595.0,Tech,Drug-Trafficking,No recidivism
2015,1JD,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,Yes,573.0,New,Drug-Trafficking,Drug-Drug Possession
2015,,Paroled to Detainer - INS,White - Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-Alcohol,No recidivism
2011,Interstate Compact,Parole,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,7JD,Parole Granted,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2012,5JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Theft,No recidivism
2010,,Discharged – End of Sentence,White - Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Yes,819.0,New,Public Order-OWI,Public Order-Other Public Order
2014,,,White - Non-Hispanic,35-44,Male,Yes,327.0,New,Drug-Drug Possession,Drug-Drug Possession
2012,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,,Parole,White - Non-Hispanic,35-44,Female,Yes,287.0,New,Violent-Kidnap,Drug-Drug Possession
2012,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Yes,1007.0,New,Violent-Assault,Violent-Assault
2010,8JD,Parole,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,6JD,Parole,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Murder/Manslaughter,No recidivism
